,County,Precinct,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIMCM,G16PRECCAS,G16PRESLAR,G16PREAROC,G16SOSRESP,G16SOSDOLI,G16SSCRNAK,G16SSCDVIG,G16SACRFRE,G16SACDVAR,COUNTYFP
66,Bernalillo,Precinct 067,93,381,40,9,0,0,0,0,111,406,170,335,110,387,001
67,Bernalillo,Precinct 068,457,490,130,8,21,7,0,0,519,551,661,402,568,480,001
68,Bernalillo,Precinct 069,641,634,150,11,23,0,0,0,657,745,861,535,753,620,001
69,Bernalillo,Precinct 070,479,639,152,7,15,0,0,0,503,732,663,549,555,641,001
70,Bernalillo,Precinct 071,139,411,50,11,0,0,0,0,167,413,198,370,153,420,001
71,Bernalillo,Precinct 072,58,226,23,7,0,0,0,0,68,228,86,198,55,231,001
72,Bernalillo,Precinct 073,269,409,80,7,7,0,0,0,269,482,392,357,292,439,001
73,Bernalillo,Precinct 074,159,280,26,0,0,0,0,0,130,321,201,243,149,297,001
74,Bernalillo,Precinct 075,78,183,25,0,0,0,0,0,87,196,118,159,83,190,001
75,Bernalillo,Precinct 076,155,248,34,11,0,0,0,0,151,282,214,214,165,258,001
76,Bernalillo,Precinct 077,157,272,40,10,0,0,0,0,155,301,188,269,155,298,001
77,Bernalillo,Precinct 078,401,570,101,8,12,0,0,0,408,635,567,477,465,553,001
78,Bernalillo,Precinct 079,597,582,138,8,8,0,0,0,597,679,829,442,703,545,001
79,Bernalillo,Precinct 080,509,555,157,20,11,0,0,0,532,680,724,493,585,615,001
80,Bernalillo,Precinct 081,727,851,225,9,23,0,0,0,765,1003,1081,689,895,835,001
81,Bernalillo,Precinct 082,395,406,129,9,12,0,0,0,428,492,606,320,508,399,001
82,Bernalillo,Precinct 083,562,729,142,21,11,0,0,0,588,834,806,595,703,674,001
83,Bernalillo,Precinct 084,432,454,111,16,8,0,0,0,439,537,590,380,500,461,001
84,Bernalillo,Precinct 085,768,715,162,24,9,0,0,0,776,860,1085,541,905,679,001
85,Bernalillo,Precinct 086,209,276,70,0,0,0,0,0,208,326,304,239,236,298,001
86,Bernalillo,Precinct 087,307,350,93,10,0,0,0,0,338,405,425,313,355,375,001
87,Bernalillo,Precinct 088,148,257,50,0,0,0,0,0,159,289,197,242,167,278,001
88,Bernalillo,Precinct 089,185,199,52,0,0,0,0,0,204,225,244,184,230,202,001
89,Bernalillo,Precinct 090,200,405,72,7,0,0,0,0,194,449,248,390,203,427,001
90,Bernalillo,Precinct 091,321,371,59,0,0,0,0,0,277,455,401,320,326,401,001
91,Bernalillo,Precinct 092,229,307,56,6,0,0,0,0,251,342,328,265,272,305,001
92,Bernalillo,Precinct 093,180,464,106,6,0,0,0,0,190,524,339,352,229,423,001
